A Face in the Dross		1000							1150	1200				980		4330	1	1
A Taste of Autumn		300						620	435					520		3570	2	1
A Taste of The New World								400	360	500		230				2200	2	1
Abandoned Cobweb	450												950	725		3475	1	1
Acorn Indian	250		550		450			450				800				4000	1	1
Adventuring Diploma																0	1	1
Aged Driftwood	1200				900			500		600	700			250		4750	1	1
Alchemist's Diploma																0	1	1
Argopelter Beak		1750													1155	6055	1	1
Aspen masque											750		1250			4250	1	1
Bar of Bubbly Soap	2275		2000					1400				500			1200	10175	1	1
Beautiful Seashell			575					750				750		900		4925	1	1
Beetle										750		1200		1350	75	4200	1	1
Berrysauce Boat								1425		750		2650			475	5300	5	1
Big Autumn Masque			1500								1250	1500	1250			5500	1	1
Birchbark Origami	1750				1500			1750					1500			8500	3	1
Brain		450	200								150			750	175	1725	1	1
Brick of Fallen Jericho	2500	1000			2000					2000					500	8000	1	1
Brick of Fallen Sodom & Gomorrah		2000			2000				2000	4500	1500				1000	13000	1	1
Brilliant Honey-Dew										500	1750	2000				6400	1	1
Broken Bough	250		150		275			180	100	215	160	210	185	235		2790	1	1
Bunny Darko		1250	1500					2000		1500					500	8750	999	1
Bunny Masque	750	750	1500									1500			250	4750	999	1
Captivating Flame			200					400		550				75	35	1610	3	1
Closed Beta Diploma															2500	2500	999	1
Cloud of Lather			1500					2275		700						4475	1	1
Coffin Plank	2000	550	1250		1250						750					6550	1	1
Colored Marbles	1275				500				900	300	800		500			4275	3	1
Concordat of Worms		900	1550					1300			2000		1200			6950	3	1
Connecticut field masque			1750					1750			1200		1250			7150	1	1
Cricket Team		750												200		7100	1	1
Cross-Shaped Wood Splinter			1400		1250			950							700	4450	1	1
Crown of Thorns			1750					1200			800		2000		350	6100	999	1
Curious Cabbage											1000	550		1150		3950	1	1
Curious Indian Corn								1950		1100	2500			375		5925	999	1
Davy Jones' Locker		750	2000		3000						1500				750	10500	5	1
Dead Wartbite Cricket														200		2300	1	1
Decorative Woodcarving	620		240		1280						500	500				3490	2	1
Deer Hoof		675			850									1750		6925	1	1
Dehydrated Rose			150									1500			1500	3150	1	1
Devil's Wort			250					250			450	230		110		1830	1	1
Diploma of Good Cheer																0	1	1
Dried Long Ear		250											800	200		3920	1	1
Earthworm Python		750									1200		900	850		4480	1	1
Eloped Gingerbread Man		850								1300	950	2350				6700	3	1
English Battleflag	750	2000	1250					1000					2500			7500	4	1
