A Face in the Dross			1000							1150	1200				980		4330	1
A Taste of Autumn			300		575		875	245	620	435					520		3570	2
A Taste of The New World					450			260	400	360	500		230				2200	3
Abandoned Cobweb		450			550		450	350						900	725		3425	1
Acorn Indian		250		550	800	450	700		450				800				4000	1
Aged Driftwood		1200			600	900			500		600	700			250		4750	1
Animal Canine			2500			2500		4250									9250	7
Argopelter Beak			1800					3200								1200	6200	1
Argopelter Liver			1350					3250					2150				6750	3
Ashes of Maudney				5000													5000	25
Aspen Masque					1000			1250				750		1250			4250	1
Bar of Bubbly Soap		2275		2000			2800		1400				500			1200	10175	1
Bar of Rose Scented Soap				2200			2800		2600				500			3200	11300	1
Beaming-Proud Sunflower				1750					1200		2800	3190	1700		750	300	11690	1
Beautiful Seashell				575	400		950	600	750				750		900		4925	1
Beetle							825				750		1200		1350	75	4200	1
Berrysauce Boat									1425		750		2650			475	5300	5
Big Autumn Masque				1500								1250	1500	1250			5500	1
Birchbark Origami		1750				1500	2000		1750					1500			8500	3
Black Pearl		2650	2400							3550						2100	10700	5
Brain			450	200								150			750	175	1725	1
Brick of Fallen Babel		750		750		1200			1000	1250	900						5850	1
Brick of Fallen Jericho		2500	1000			2000					2000					500	8000	1
Brick of Fallen Sodom & Gomorrah			2000			2000				2000	4500	1500				1000	13000	1
Brilliant Honey-Dew					2500		2500						4250				9250	7
Broken Bough		250		150	375	275	200	255	180	100	215	160	210	185	235		2790	1
Bunny Darko			1250	1500	2000				2000		1500					500	8750	1
Bunny Masque		750	750	1500									1500			250	4750	1
Captivating Flame				200	350				400		550				75	35	1610	3
Carpenter's Square						5000											5000	25
Caterpillar in a Jar					2325				885				1450		1450		6110	4
Closed Beta Diploma																2500	2500	1
Cloud of Lather				1500					2275		700						4475	1
Clover				450	330				300			250	320				1650	1
Coffin Plank		2000	550	1250		1250	750					750					6550	1
Colored Marbles		1275				500				900	300	800		500			4275	3
Colorful Autumn Leaf					2500		2500								4250		9250	7
Concordat of Worms			900	1550					1300			2000		1200			6950	3
Connecticut Field Masque				1750			1200		1750			1200		1250			7150	1
Creepy Centipede			2100								2750				3350	1175	9375	2
Cricket Team			750		2700		1750	1700							200		7100	3
Cricket Violin		2975			1500			2350						400	4500	300	12025	1
Cross-Shaped Wood Splinter				1400		1250		150	950							700	4450	1
Crown of Thorns				1750					1200			800		2000		350	6100	1
Curious Cabbage							1250					1000	550		1150		3950	1
Curious Indian Corn									1950		1100	2500			375		5925	2
Davy Jones' Locker			750	2000		3000	2500					1500				750	10500	5
Dead Rat			500		700			900								200	2300	1
Dead Wartbite Cricket					700		500	900							200		2300	1
Decorative Woodcarving		620		240		1280		350				500	500				3490	2
Deer Antlers		450				850		2100	575						1750		5725	1
Deer Hoof			675		1400	850		2250	620						1750		7545	1
Dehydrated Rose				150									1500			1500	3150	1
Devil's Wort			150	250			750								1125	45	2320	1
Dried Long Ear			250		950		970	750						800	200		3920	1
Earthworm Python			750		780							1200		900	850		4480	1
Eloped Gingerbread Man			850				1250				1300	950	2350				6700	3
English Battleflag		750	2000	1250					1000					2500			7500	4
Enlarged Bear Heart			1250					2625					1650			575	6100	3
Etterfang			250		600		600	500					1500		500		3950	1
Fine Beaver Teeth			550				1075	1550	900					800	500		5375	2
Fish Skeleton			35	75	250					125		90				10	585	1
Fishing Trophy		1250			1000		1850	1000					1700		1000		7800	6
Five Nations' Dreamcatcher		1600		1250					1800			1000		1500		750	7900	1
Flame Azalea							795				1300	180	230	290			2795	1
Flower Arrangement		1245					2575					1475	1620		885		7800	3
Foetid Ooze			2150					4500					2000	2800	2050		13500	1
Four-leaf Clover				2850			2230									1420	6500	13
French Fry		225	1								200		325		385		1136	3
Fungus Amungus			350		625		410				565					125	2075	4
Funny Foam					1250		900	1750			750	1100					5750	1
Game Board			1000			4500			1500						1500	1000	9500	6
Garden Gnome							5000										5000	25
Garlic Braid		400									800	750	1400	450	300		4100	1
Gelatinous Lard							1750				1300		750				3800	1
Ghost Rider				1800			2150					2000	1850		1350	450	9600	1
Ghost Rider Masque			1500					2500						1750	1750		7500	1
Giant Willow Aphid							2500					4250	2500				9250	7
Grass Whistle		250		250	300			450	150			175	300				1875	3
High Notes of Amber Resin						350	3600							625	2800		7375	1
Honeysuckle Kudzu			600										800		650	300	2350	1
Horribly Rotten Walnut			2500				3700				800					1900	8900	2
Hunting Trophy		1550	1000		2000	1500	750	2000									8800	6
Iris Prismatica							695				240	190	230	1175			2530	1
Iron Pyrite										250000							250000	1
Iä! Iä! Rlyeh Fhtang!			2525	2525											2525	1755	9330	1
Jack-o-Lantern							1350				1300	1500	1750		1150		7050	1
Jackalope Antlers					800		750	900				350	750				3550	1
